,Report Date,Rig Name,Well No,Date and Time,Time in Hrs,Cummulative Hrs,LT ID,Parent LT ID,LT Type,Cause,Object,Company Name,Depth,LT Summary
0,06/21/2022,ADC-43L,UTMN-3118,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
1,06/21/2022,ADC-43L,UTMN-3118,19 Jun 0245 - 1700, 12, 38.25, 898513, , WCNT, WCC8, NA, TK3, 10535," OBSERVED INCREASE IN MPD RETURN FLOW. WELL FLOWING. SHUT-IN WELL ON RCD W/ 5 RPM. RECORD INITIAL SIDPP-1100 PSI, SICP - 1400 PSI, & PIT GAIN - 25 BBL."
2,06/21/2022,ADC-55L,UTMN-3171,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
3,06/21/2022,ADC-55L,UTMN-3171,21 Jun 1415 - 0500, 14.25, 14.25, 898634, , WCNT, WC11, NA, TK3, 6243, OBSERVED INCREASE IN FLOW OUT
4,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT. DRIFT WITH 2.347"" TO 49 FT & DRIFT WITH 2.867"" TO 35 FT AND TAG X/O. "
5,06/21/2022,ADC-57L,FDHL-158,C,COMP,SET,PLUGT,INW,16580,16580, 10, 10,  3267,SLICK LINE SET INTERWELL PUMP DOWN THRU PLUG. CONFIRM PLUG SETTING BY SOFT S/O. POOH AND L/D SETTING TOOL. R/D SLICK LINE. 
6,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 542, 662,  3267,"RIH ESP COMPLETION TO 662 FT ON 3-1/2"" 9.3# J-55 EUE TUBING"
7,06/21/2022,ADC-57L,FDHL-158,C,COMP,OTH,PDHMS,HCO,16580,16580, , ,  3267,"HANG CABLE SHEAVES ON MONKEY BOARD, PERFORMING DOWN HOLE ELECTRICAL INTEGRITY. P-P BALANCED: 6.9OHM, P-GROUND: 5 MIN READING 1.56G OHM & 10 MIN READING 2.17 G OHM"
8,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 662, 1562,  3267,"RIH ESP COMPLETION TO 1,562 FT ON 3-1/2"" 9.3# J-55 EUE TUBING"
9,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT WITH 2.867"" TO 1030 FT DEPTH AS PLANNED. R/D SLICKLINE EQUIPMENT. -MEANWHILE BAKER ERFORM DOWN HOLE ELECTRICAL INTEGRITY. P-P BALANCED: 7.0 HM, P-GROUND: 5 MIN READING 1.12G OHM & 10 MIN READING 2.0 G OHM."
10,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 1562, 2789,  3267,"RIH BAKER ESP COMPLETION TO 2,789 FT ON 3-1/2"" 9.3# J-55 EUE TUBING. "
11,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 2789, 2800,  3267,"P/U AND MAKE UP 4 FT 3-1/2"" 9.3# J-55 EUE PUP JOINT+ X/O ( 4-1/2"" 13.5# TENARIS TN-95HS 3SB X 3-1/2"" 9.3# J-55 EUE) AND RIH TO 2800 FT"
12,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT WITH 2.867"" TO 1,300 FT DEPTH AS PLANNED. R/D SLICKLINE EQUIPMENT. - MEANWHILEBAKER PERFORM DOWN HOLE ELECTRICAL INTEGRITY. P-P BALANCED: 6.9 OHM, P-GROUND: 5 MIN READING 1.62 G OHM & 10 MIN READING 2.25 G OHM. "
13,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 2800, 3861,  3267,"RIH BAKER ESP COMPLETION TO 3,861FT ON 4-1/2"" 13.5# 3SB TUBING"
14,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT WITH 3.795"" TO 1,066 FT DEPTH AS PLANNED. R/D SLICKLINE EQUIPMENT. - MEANWHILE BAKER PERFORM DOWN HOLE ELECTRICAL INTEGRITY. P-P BALANCED: 7.0 OHM, P-GROUND: 5 MIN READING 1.42 G OHM & 10 MIN READING 2.04 G OHM"
15,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 3861, 4828,  3267,"RIH BAKER ESP COMPLETION TO 4,828 FT ON 4-1/2"" 13.5# 3SB TUBING"
16,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT WITH 3.795"" TO 1,008 FT DEPTH AS PLANNED. R/D SLICKLINE EQUIPMENT. - MEANWHILE BAKER PERFORM DOWN HOLE ELECTRICAL INTEGRITY. P-P BALANCED: 7.0 OHM, P-GROUND: 5 MIN READING 1.62 G OHM & 10 MIN READING 2.25 G OHM"
17,06/21/2022,ADC-57L,FDHL-158,C,COMP,RPCS,SPCOM,TSC,16580,16580, 4828, 5802,  3267,"RIH BAKER ESP COMPLETION TO 5,802 FT ON 4-1/2"" 13.5# 3SB TUBING"
18,06/21/2022,ADC-57L,FDHL-158,C,COMP,DTU,DRFT,NSL,16580,16580, , ,  3267,"R/U SLICK LINE & DRIFT WITH 3.795"" TO 1,015 FT DEPTH AS PLANNED. ON GOING AT RT. - CONTINUOUSLY PUMP 70 PCF BRINE INTO ANNULUS AT 2 BPM FROM TRIP TANK DURING ALL PAST OPERATION, WELL IN TOTAL LOSSES."
19,06/21/2022,ADC-57L,FDHL-158,DOOS ID,Type,Category,Out of Scope Summary,19 Jun 0030, 24, 60, 3267, OOS, SMCM, RUN PDHMS & ESP COMPLETION. 
20,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,
22,06/21/2022,ADC-62L,ANDR-745,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
23,06/21/2022,ADC-62L,ANDR-745,18 Jun 0100 - 0500, 24, 76, 898471, , STUK, STDP, DP, RIG, 9094, DRILL STRING STUCK.
24,06/21/2022,ADC-67L,SDGM-1265,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
25,06/21/2022,ADC-67L,SDGM-1265,20 Jun 1600 - 0430, 23.5, 36.5, 898518, , BHA, FOT, RSS, SDM, 12443," RSS NOT RESPOND, PERFORMED TROUBLE SHOOTING. NO SUCCESS."
26,06/21/2022,ADES-14,HWYH-530,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
27,06/21/2022,ADES-14,HWYH-530,21 Jun 1830 - 2000, 1.5, 1.5, 898521, , TF, XTTE, CRT, GOC, 10635, EXCESS TIME DUE TO POOR HANDLING EQUIPMENT
28,06/21/2022,ADES-158,ABQQ-736,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
29,06/21/2022,ADES-158,ABQQ-736,20 Jun 1730 - 0500, 16.5, 26.5, 898654, 897478, JF, HERR, STRG, RIG, 5206, HAD OBSTRUCTION  @ 5206' WHILE RIH WITH BAKER DIR BHA. 
30,06/21/2022,ADM-337,MRJN-900,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
31,06/21/2022,ADM-337,MRJN-900,18 Jun 0100 - 0500, 24, 68.5, 898514, , TF, ISEQ, SB, SLL, 11365, UNABLE TO PASS TOL WITH SCHLUMBERGER W/LINE TOOLS CBL & USIT
32,06/21/2022,ADM-656,SFNY-396,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
33,06/21/2022,ADM-656,SFNY-396,19 Jun 0945 - 2145, 16.75, 60, 898490, , TF, FOT, ESPL, SBA, 2368," OBSERVED UNBALANCED PHASE TO PHASE READINGS ON ESP ELECTRICAL CABLE AT 2,368 FT. DECISION MADE TO POH AND CHANGE OUT ESP CABLE. "
34,06/21/2022,AOD-111,MRJN-724,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
35,06/21/2022,AOD-111,MRJN-724,20 Jun 2100 - 1715, 11, 18, 898595, , LCIR, UVLC, NA, ARM, 16052, OBSERVED LOSSES IN RATAWI RESRV  150 BPH
36,06/21/2022,ARO-4001,MRJN-538,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
37,06/21/2022,ARO-4001,MRJN-538,21 Jun 2015 - 2315, 3, 3, 898522, , RR, FOT, TDS, RIG, 16171, REPAIRED LEAKING WATER COOLING HOSE IN TDS MOTOR.
38,06/21/2022,CG-1,ZULF-1201,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
39,06/21/2022,CG-1,ZULF-1201,09 Jun 2300 - 0500, 24, 293.5, 897833, , STUK, STCT, SCRN, ARM, 9545, SIDETRACK WELL DUE TO THE STUCK OF LOWER COMPLETION STRING.
40,06/21/2022,NA-207S,SHYB-132,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
41,06/21/2022,NA-207S,SHYB-132,21 Jun 1330 - 1530, 2, 2, 898519, , RR, FOT, ACDC, RIG, 4327, OBSERVE FAULTY ENGINE CONTROL MODULE (AC MODULE).
42,06/21/2022,NBR-16S,HMYM-433114,From  - To,Hrs,Cum. Hrs,LT ID,Parent LT ID,Type,Cause,Object, Resp Co, Depth,LT Summary
