,Cause,Company Name,Cummulative Hrs,Date and Time,Depth,LT ID,LT Summary,LT Type,Object,Parent LT ID,Report Date,Rig Name,Time in Hrs,Well No
0,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,088TE,Hrs,QTIF-330
1, FOT, WEP, 33.5,31 Jul 1930 - 0500, 5926, 900302," UNABLE TO RUN 4-1/2"" HALLIBURTON COMPLETION SEAL THROUGH WFD MCL (7"" CASING PATCH).", TF, CPCH, ,08/01/2022,088TE, 24,QTIF-330
2,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-29,Hrs,NYYM-100
3, FPMP, RIG, 2,01 Aug 0900 - 1100, 9336, 900331," WHILE DRILLING OBSERVE PRESSURE DROP, FOUND LEAK ON MP#1", RR, MPMP, ,08/01/2022,ADC-29, 2,NYYM-100
4,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-31,Hrs,SDGM-1181
5, STDP, RIG, 444.5,12 Jul 1930 - 0500, 14234, 899623, TDS TRIPPED AND LOST RPM CAUSING STUCK PIPE., STUK, DP, ,08/01/2022,ADC-31, 24,SDGM-1181
6,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-41L,Hrs,SDGM-1244
7, UVLC, ARM, 289.5,19 Jul 0500 - 0500, 9010, 900095," TOTAL LOSSES AT DEPTH OF 9,010 FT - UNCURABLE WITH CONVENTIONAL LCM PILLS", LCIR, NA, ,08/01/2022,ADC-41L, 24,SDGM-1244
8,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-43L,Hrs,UTMN-3118
9, FRFM, TK3, 50.5,30 Jul 0115 - 0500, 12637, 900352, WHILE DRILLING LOST COMPLETE RETURNS IN KHUFF B CARBONATE. PUMPING LCM TO CURE THE LOSSES., LCIR, NA, ,08/01/2022,ADC-43L, 22.75,UTMN-3118
10, FOT, RIG, 4.5,01 Aug 1915 - 2345, 2400, 900346, UNABLE TO BREAK CONNECTION BETWEEN TDS AND DP, RR, RSYS, ,08/01/2022,ADC-50, 4.5,SFNY-1176
11,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-50,Hrs,SFNY-1176
12, LCRW, ARM, 255.25,19 Jul 1830 - 0500, 0, 899874, PIPE STUCK. NO SUCCESS TO FREE PIPE. CUT  PIPE AT 3260' WITH MPC . SPOTTED SIDETRACK CMT PLUG FOR SIDETRACK., STUK, STRG, ,08/01/2022,ADC-50, 19.5,SFNY-1176
13, FOT, RIG, 4.5,01 Aug 1915 - 2345, 2400, 900346, UNABLE TO BREAK CONNECTION BETWEEN TDS AND DP, RR, RSYS, ,08/01/2022,ADC-50, 4.5,SFNY-1176
14,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-52,Hrs,SDGM-1185
15, HINW, BAW, 88,29 Jul 1300 - 0500, 12600, 900261, LOGGING TOOLS GOT STUCK MECHANICALLY DUE TO WASHOUTS WHILE PERFORMING THE REPEAT PASS, STUK, WLT, ,08/01/2022,ADC-52, 24,SDGM-1185
16,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-55L,Hrs,UTMN-3171
17, STBH, TK3, 66.5,30 Jul 0830 - 0500, 12245, 900335, PU STRING AFTER DROP PBL BALLS FOUND STRING STUCK., STUK, BHA, ,08/01/2022,ADC-55L, 24,UTMN-3171
18,Cause, Resp Co,Cum. Hrs,From  - To, Depth,LT ID,LT Summary,Type,Object,Parent LT ID,08/01/2022,ADC-66L,Hrs,UTMN-3155
