Unnamed: 0,Date,Opr Start Time,Opr End Time,Time in Hrs,Rig Name,Well No,Company Name,Liner Size,holesize,lateral,Operation,majoroperation,action,Hole Depth Start,Hole Depth End,Event Depth Start,Event Depth End,Summarry Of Operation
0,06/27/2022,0500,1500,10.0,HI-2,BRRI-440,BHI,7, 6 1/8,0,MRSS,DRLG,DMR,14275,15450, , ,"BHI DIR DRILL 6 1/8"" HOLE WITH MRSS/LWD BHA, 67 PCF OBM & 100% RETURNS.* PUMPED TANDEM SWEEP AS REQUIRED. * WORKED PIPE BEFORE CONNECTION & TOOK SURVEY EVERY STD.* GEOSTEERING AS PER GOC INSTRUCTION."
1,06/27/2022,1500,1815,03.2,HI-2,BRRI-440,RIG,7, 6 1/8,0,MPMP,DRLG,CIRC,15450,15450, , ,PUMPED SWEEPS & CHC AT HALF-WAY SECTION.
2,06/27/2022,1815,2330,05.2,HI-2,BRRI-440,BHI,7, 6 1/8,0,MRSS,DRLG,DMR,15450,16210, , ,"BHI DIR DRILL 6 1/8"" HOLE WITH MRSS/MWD/LWD BHA, 67 PCF OBM & 100% RETURNS."
3,06/27/2022,2330,0000,00.5,HI-2,BRRI-440,RIG,7, 6 1/8,0,MPMP,DRLG,CIRC,16210,16210, , ,"DOWNLINK, TOOK SURVEY & RECORDED SCR'S."
4,06/27/2022,0000,0500,05.0,HI-2,BRRI-440,BHI,7, 6 1/8,0,MRSS,DRLG,DMR,16210,16750, , ,"BHI DIR DRILL 6 1/8"" HOLE WITH MRSS/MWD/LWD BHA, 67 PCF OBM & 100% RETURNS.*** IN PROGRESS AT RT"
5,06/27/2022,0500,1000,05.0,910TE,DMMM-525,WCR,7, ,0,UPDMC,COMP,RPCS,15300,15300, 11010, 12711,"RIH 42 JTS OF 7"" 26# L80 TSH BLUE TBG.* INSTALL 7"" SLB CLAMP ON 7"" CSG COUPLING.* TOTAL OF 7"" 26# TBG RUN: 95 JTS OUT OF TOTAL 147 JTS."
6,06/27/2022,1000,1300,03.0,910TE,DMMM-525,INW,7, ,0,PLUGT,COMP,SET,15300,15300, 2250, 2250," HPJSM, R/U SLB SLICK LINE LUBRICATOR & BOPE. PT TEST TO 2000 PSI, OK: * DRIFT STRING WITH 6.151"" DRIFT SIZE TO 2270 FT.* SET INTERWELL PLUG @ 2250 FT (INSIDE 7"" 26# TBG). * R/D SLB SLICK LINE LUBRICATOR & BOPE."
7,06/27/2022,1300,1500,02.0,910TE,DMMM-525,RIG,7, ,0,PLUGT,COMP,PTST,15300,15300, , ,"HPJSM. R/U & LINE-UP SURFACE LINES TO TUBING STRING, FLUSH & P/T LINES TO 4500 PSI FOR 10 MIN, OK. * INSTALLED TIW VALVE & P/T TUBING STRING AGAINST INTERWELL PLUG TO 4000 PSI FOR 10 MINS, OK* R/D SURFACE LINES."
8,06/27/2022,1500,1800,03.0,910TE,DMMM-525,SLL,7, ,0,PLUGT,COMP,RTRV,15300,15300, , ,"HPJSM, R/U SLB SLICK LINE LUBRICATOR & BOPE. PT TEST TO 2000 PSI, OK: * RETRIEVE INTERWELL PLUG @ 2250 FT. * R/D SLB SLICK LINE BOPE & LUBRICATOR."
9,06/27/2022,1800,2300,05.0,910TE,DMMM-525,WCR,7, ,0,UPDMC,COMP,RPCS,15300,15300, 12711, 14835,"RIH 52 JTS OF 7"" 26# L80 TSH BLUE TBG.* INSTALL 7"" SLB CLAMP ON 7"" CSG COUPLING.* TOTAL OF 7"" 26# TBG RUN: 147 JTS OUT OF TOTAL 147 JTS."
