seq,LT Type,LT ID,Date,Opr Start Time,Opr End Time,Time in Hrs,Rig Name,Well No,Company Name,Liner Size,holesize,lateral,Operation,majoroperation,action,Hole Depth Start,Hole Depth End,Event Depth Start,Event Depth End,LT Summary,LT Sumarry 2,LT Sumarry 3,LT Sumarry 4,Summarry Of Operation
0,,,04/15/2022,500,600,1,ADC-35,MAQL-5,RIG,7, 5 7/8,0,TDS,DRLG,D,9155,9175, , ,,,,,"ROTARY DRLG 5 7/8"" HOLE WITH 95 PCF OBM & FULL RETURNS .> PUMP HV SWEEPS AS REQUIRED"
1,,,04/15/2022,600,630,0.5,ADC-35,MAQL-5,RIG,7, 5 7/8,0,TDS,DRLG,RR,9175,9175, , ,,,,,SERVICE TDS.
2,,,04/15/2022,630,800,1.5,ADC-35,MAQL-5,RIG,7, 5 7/8,0,MPMP,DRLG,CIRC,9175,9175, , ,,,,,CIRCULATE BTM UP FOR HOLE CLEANING.
3,,,04/15/2022,800,400,20,ADC-35,MAQL-5,RIG,7, 5 7/8,0,TDS,DRLG,D,9175,9380, , ,,,,,"ROTARY DRLG 5 7/8"" HOLE WITH 95 PCF OBM & FULL RETURNS - DECIDED TO POOH & CHANGE BIT DUE TO LOW ROP.> PUMP HV SWEEPS AS REQUIRED"
4,,,04/15/2022,400,500,1,ADC-35,MAQL-5,RIG,7, 5 7/8,0,MPMP,DRLG,CIRC,9380,9380, , ,,,,,CIRCULATE HOLE CLEAN.
5, WCNT, 895515,04/15/2022,500,800,3,DPS-4,MDRK-54,RIG,None, 5 7/8,0,NA,KILL,WCNT,16095,16095, , , STRING GOT DIFFERENTIAL STUCK., OBSERVED WELL FLOWING AT 0.4 BPH DURING FLOW CHECK. ,,,"SHUT IN THE WELL, MONITOR SICP FOR BUILD UP. FINAL SICP = 800 PSI, BUMP FLOAT AND READ SIDP = 780 PSI, CALCULATED KILL MUD WEIGHT = 115 PCF. "
6, WCNT, 895515,04/15/2022,800,900,1,DPS-4,MDRK-54,RIG,None, 5 7/8,0,NA,KILL,OTH,16095,16095, , , STRING GOT DIFFERENTIAL STUCK., OBSERVED WELL FLOWING AT 0.4 BPH DURING FLOW CHECK. ,,,PREPARE KILL SHEET AND 115 PCF KILL MUD IN MUD PIT.
7, WCNT, 895515,04/15/2022,900,1900,10,DPS-4,MDRK-54,RIG,None, 5 7/8,0,MPMP,KILL,KILL,16095,16095, , , STRING GOT DIFFERENTIAL STUCK., OBSERVED WELL FLOWING AT 0.4 BPH DURING FLOW CHECK. ,,,"HPJSM WITH DRILING CREW, MUD ENGINEER AND FOREMEN. PERFORM KILLING OPERATION WITH 115 PCF KILL MUD BY USING WAIT & WEIGHT METHOD UNTIL 115 PCF AT SURFACE. SHUT DOWN MUD PUMP AND CLOSE CHOKE TO SHUT-IN WELL, SICP=SIDP=0, MONITOR FOR 30 MINUTES, NO PRESSURE BUILD UP,  OPEN CHOKE TO TRIP TANKS AND FLOW CHECK FOR 30 MINUTES, WELL STATIC.> NO DOWN HOLE LOSSES THROUGHOUT KILLING OPERATION.> NO FLARE DURING KILLING OPERATION, MAXIMUM GAS READING IN MUD LOGGING UNIT 3.9%."
8, STUK, 895518,04/15/2022,1900,500,10,DPS-4,MDRK-54,ARM,None, 5 7/8,0,STRG,DRLG,WOS,16095,16095, 16058, 16058, STRING GOT DIFFERENTIAL STUCK., OBSERVED WELL FLOWING AT 0.4 BPH DURING FLOW CHECK. ,,,"OPEN BOP, PIPE GOT SUTCK, WORK PIPE UP TO 500 KLBS WITH MAXIMUM 160 KLBS OVER PULL AND WORKING PIPE DOWN TO 100 KLBS WITH MAXIMUM 240 KLBS SLACK OFF WEIGHT COMBINED WITH TORQUE & JARRING, NO PROGRESS.  ONGOING AT REPORT TIME.....> BIT POSITION AT 16,058' WITH 37' OFF BOTTOM, CIRCULATING WITH NO RESTRICTION.> MEANWHILE PREPARE GLYCOL PILL. "
9, , ,04/15/2022,500,1200,7,ADC-49,HRDH-2128,RIG,None, 28,0,MPMP,CSG,CIRC,600,600, , , WHILE WASHING DOWN DRILLER  SLACKED OFF 30K ON BOTTOM CAUSING FLOAT SHOE PLUGED.,,,,"DRILLER WASHED DOWN LAST 24"" CSG JT, SLACKING OFF UP TO 45K ON BOTTOM AND PRESSURE INCREASED. BLEED OFF PRESSURE FROM SURFACE, PUMP BACK FOUND PRESSURE INCREASED AGAIN.MOVED PIPE UP AND DOWN FREELY CONFIRMING HOLE NOT PACKED OFF, INDICATE FLOAT SHOE PLUGGED.TRIED SEVERAL ATTEMPTS TO FREE FLOAT SHOE BY WORKING THE PIPE UP AND DOWN HARDLY AND INCREASED PUMPING TO THE MAXIMUM ALLOWED PRESSURE WITHOUT SUCCESS.DECIDED TO RIH WITH ISC STINGER ON 5-1/2"" STDS TRYING TO GET FS FREE."
